success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,view_history,rt,stimulus,response,task,correct_response,attention_duration,correct,retrieval_group
TRUE,FALSE,[],[],[],preload,0,1412,0.0-0.0,1,Study 1,Session 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,NA,fullscreen,1,13172,0.0-1.0,1,Study 1,Session 1,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,instructions,2,17462,0.0-2.0,1,Study 1,Session 1,"[{""page_index"":0,""viewing_time"":4290}]",4290,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,3,21636,0.0-3.0,1,Study 1,Session 1,NA,4174,"Welcome to the experiment. <br /><br />This experiment will take about 20 minutes. Please complete all in one sitting. <br /><br />For this study, <strong>please use</strong> a laptop or desktop computer (not a mobile phone or tablet). Also, please use either <u>Chrome or Firefox</u>. <br /><br />Once you begin, <strong>DO NOT</strong> refresh the browser, as the experiment will reset and you will lose your progress. <br /><br />Press the <strong class=""upperline"">B</strong> key on your keyboard to begin.",b,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,instructions,4,42092,0.0-4.0,1,Study 1,Session 1,"[{""page_index"":0,""viewing_time"":5835},{""page_index"":1,""viewing_time"":11929},{""page_index"":2,""viewing_time"":1676}]",19441,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,5,45108,0.0-5.0-0.0,1,Study 1,Session 1,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,6,51109,0.0-5.0-1.0,1,Study 1,Session 1,NA,null,img/encoding_events/Event_11.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,7,51110,0.0-5.0-2.0,1,Study 1,Session 1,NA,null,Please press the <strong><u>j</u></strong> key to continue,null,response,j,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,8,51613,0.0-5.0-0.1,1,Study 1,Session 1,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,9,57618,0.0-5.0-1.1,1,Study 1,Session 1,NA,null,img/encoding_events/Event_10.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,10,57623,0.0-5.0-2.1,1,Study 1,Session 1,NA,null,Please press the <strong><u>k</u></strong> key to continue,null,response,k,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,11,58132,0.0-5.0-0.2,1,Study 1,Session 1,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,12,64139,0.0-5.0-1.2,1,Study 1,Session 1,NA,null,img/encoding_events/Event_4.jpg,null,NA,NA,NA,NA,NA
