success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,view_history,rt,stimulus,response,task,correct_response,attention_duration,correct,retrieval_group
TRUE,FALSE,[],[],[],preload,0,1943,0.0-0.0,21,Study 21,Session 21,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,NA,fullscreen,1,4331,0.0-1.0,21,Study 21,Session 21,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,instructions,2,8314,0.0-2.0,21,Study 21,Session 21,"[{""page_index"":0,""viewing_time"":3983}]",3983,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,3,14844,0.0-3.0,21,Study 21,Session 21,NA,6529,"Welcome to the experiment. <br /><br />This experiment will take about 20 minutes. Please complete all in one sitting. <br /><br />For this study, <strong>please use</strong> a laptop or desktop computer (not a mobile phone or tablet). Also, please use either <u>Chrome or Firefox</u>. <br /><br />Once you begin, <strong>DO NOT</strong> refresh the browser, as the experiment will reset and you will lose your progress. <br /><br />Press the <strong class=""upperline"">B</strong> key on your keyboard to begin.",b,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,instructions,4,31223,0.0-4.0,21,Study 21,Session 21,"[{""page_index"":0,""viewing_time"":5992},{""page_index"":1,""viewing_time"":7031},{""page_index"":2,""viewing_time"":2343}]",15366,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,5,34238,0.0-5.0-0.0,21,Study 21,Session 21,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,6,40254,0.0-5.0-1.0,21,Study 21,Session 21,NA,null,img/encoding_events/Event_20.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,7,40255,0.0-5.0-2.0,21,Study 21,Session 21,NA,null,Please press the <strong><u>j</u></strong> key to continue,null,response,j,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,8,40767,0.0-5.0-0.1,21,Study 21,Session 21,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,9,46783,0.0-5.0-1.1,21,Study 21,Session 21,NA,null,img/encoding_events/Event_7.jpg,null,NA,NA,NA,NA,NA
