success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,view_history,rt,stimulus,response,task,correct_response,attention_duration,correct,retrieval_group
TRUE,FALSE,[],[],[],preload,0,1140,0.0-0.0,2,Study 2,Session 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,NA,fullscreen,1,53805,0.0-1.0,2,Study 2,Session 2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,instructions,2,55289,0.0-2.0,2,Study 2,Session 2,"[{""page_index"":0,""viewing_time"":1481}]",1482,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,3,59906,0.0-3.0,2,Study 2,Session 2,NA,4615,"Welcome to the experiment. <br /><br />This experiment will take about 20 minutes. Please complete all in one sitting. <br /><br />For this study, <strong>please use</strong> a laptop or desktop computer (not a mobile phone or tablet). Also, please use either <u>Chrome or Firefox</u>. <br /><br />Once you begin, <strong>DO NOT</strong> refresh the browser, as the experiment will reset and you will lose your progress. <br /><br />Press the <strong class=""upperline"">B</strong> key on your keyboard to begin.",b,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,instructions,4,296328,0.0-4.0,2,Study 2,Session 2,"[{""page_index"":0,""viewing_time"":204125},{""page_index"":1,""viewing_time"":29864},{""page_index"":2,""viewing_time"":1432}]",235421,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,5,299349,0.0-5.0-0.0,2,Study 2,Session 2,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,6,305365,0.0-5.0-1.0,2,Study 2,Session 2,NA,null,img/encoding_events/Event_1.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,7,305372,0.0-5.0-2.0,2,Study 2,Session 2,NA,null,Please press the <strong><u>j</u></strong> key to continue,null,response,j,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,8,305884,0.0-5.0-0.1,2,Study 2,Session 2,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,9,311893,0.0-5.0-1.1,2,Study 2,Session 2,NA,null,img/encoding_events/Event_12.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,10,311899,0.0-5.0-2.1,2,Study 2,Session 2,NA,null,Please press the <strong><u>f</u></strong> key to continue,null,response,f,0,FALSE,NA
