success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,view_history,rt,stimulus,response,task,correct_response,attention_duration,correct,retrieval_group
TRUE,FALSE,[],[],[],preload,0,2836,0.0-0.0,76,Study 76,Session 76,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,NA,fullscreen,1,5713,0.0-1.0,76,Study 76,Session 76,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,instructions,2,8661,0.0-2.0,76,Study 76,Session 76,"[{""page_index"":0,""viewing_time"":2947}]",2947,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,3,13222,0.0-3.0,76,Study 76,Session 76,NA,4561,"Welcome to the experiment. <br /><br />This experiment will take about 20 minutes. Please complete all in one sitting. <br /><br />For this study, <strong>please use</strong> a laptop or desktop computer (not a mobile phone or tablet). Also, please use either <u>Chrome or Firefox</u>. <br /><br />Once you begin, <strong>DO NOT</strong> refresh the browser, as the experiment will reset and you will lose your progress. <br /><br />Press the <strong class=""upperline"">B</strong> key on your keyboard to begin.",b,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,instructions,4,23180,0.0-4.0,76,Study 76,Session 76,"[{""page_index"":0,""viewing_time"":2562},{""page_index"":1,""viewing_time"":4424},{""page_index"":2,""viewing_time"":1962}]",8949,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,5,26202,0.0-5.0-0.0,76,Study 76,Session 76,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,6,32215,0.0-5.0-1.0,76,Study 76,Session 76,NA,null,img/encoding_events/Event_21.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,7,32217,0.0-5.0-2.0,76,Study 76,Session 76,NA,null,Please press the <strong><u>a</u></strong> key to continue,null,response,a,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,8,32722,0.0-5.0-0.1,76,Study 76,Session 76,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,9,38733,0.0-5.0-1.1,76,Study 76,Session 76,NA,null,img/encoding_events/Event_18.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,10,38738,0.0-5.0-2.1,76,Study 76,Session 76,NA,null,Please press the <strong><u>k</u></strong> key to continue,null,response,k,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,11,39243,0.0-5.0-0.2,76,Study 76,Session 76,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,12,45250,0.0-5.0-1.2,76,Study 76,Session 76,NA,null,img/encoding_events/Event_4.jpg,null,NA,NA,NA,NA,NA
