success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,view_history,rt,stimulus,response,task,correct_response,attention_duration,correct,retrieval_group
TRUE,FALSE,[],[],[],preload,0,1508,0.0-0.0,23,Study 23,Session 23,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,NA,fullscreen,1,5555,0.0-1.0,23,Study 23,Session 23,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,instructions,2,12788,0.0-2.0,23,Study 23,Session 23,"[{""page_index"":0,""viewing_time"":7231}]",7231,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,3,21228,0.0-3.0,23,Study 23,Session 23,NA,8439,"Welcome to the experiment. <br /><br />This experiment will take about 20 minutes. Please complete all in one sitting. <br /><br />For this study, <strong>please use</strong> a laptop or desktop computer (not a mobile phone or tablet). Also, please use either <u>Chrome or Firefox</u>. <br /><br />Once you begin, <strong>DO NOT</strong> refresh the browser, as the experiment will reset and you will lose your progress. <br /><br />Press the <strong class=""upperline"">B</strong> key on your keyboard to begin.",b,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,instructions,4,44143,0.0-4.0,23,Study 23,Session 23,"[{""page_index"":0,""viewing_time"":5158},{""page_index"":1,""viewing_time"":13030},{""page_index"":2,""viewing_time"":3720}]",21908,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,5,47180,0.0-5.0-0.0,23,Study 23,Session 23,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,6,53208,0.0-5.0-1.0,23,Study 23,Session 23,NA,null,img/encoding_events/Event_1.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,7,53212,0.0-5.0-2.0,23,Study 23,Session 23,NA,null,Please press the <strong><u>a</u></strong> key to continue,null,response,a,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,8,53717,0.0-5.0-0.1,23,Study 23,Session 23,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,9,60017,0.0-5.0-1.1,23,Study 23,Session 23,NA,null,img/encoding_events/Event_17.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,10,60033,0.0-5.0-2.1,23,Study 23,Session 23,NA,null,Please press the <strong><u>d</u></strong> key to continue,null,response,d,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,11,60543,0.0-5.0-0.2,23,Study 23,Session 23,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,12,66568,0.0-5.0-1.2,23,Study 23,Session 23,NA,null,img/encoding_events/Event_19.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,13,66583,0.0-5.0-2.2,23,Study 23,Session 23,NA,null,Please press the <strong><u>j</u></strong> key to continue,null,response,j,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,14,67094,0.0-5.0-0.3,23,Study 23,Session 23,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,15,73118,0.0-5.0-1.3,23,Study 23,Session 23,NA,null,img/encoding_events/Event_6.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,16,75733,0.0-5.0-2.3,23,Study 23,Session 23,NA,2613,Please press the <strong><u>s</u></strong> key to continue,s,response,s,6000,TRUE,NA
NA,NA,NA,NA,NA,html-keyboard-response,17,76236,0.0-5.0-0.4,23,Study 23,Session 23,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,18,82259,0.0-5.0-1.4,23,Study 23,Session 23,NA,null,img/encoding_events/Event_18.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,19,82263,0.0-5.0-2.4,23,Study 23,Session 23,NA,null,Please press the <strong><u>a</u></strong> key to continue,null,response,a,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,20,82769,0.0-5.0-0.5,23,Study 23,Session 23,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,21,88795,0.0-5.0-1.5,23,Study 23,Session 23,NA,null,img/encoding_events/Event_13.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,22,88810,0.0-5.0-2.5,23,Study 23,Session 23,NA,null,Please press the <strong><u>s</u></strong> key to continue,null,response,s,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,23,89323,0.0-5.0-0.6,23,Study 23,Session 23,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,24,95348,0.0-5.0-1.6,23,Study 23,Session 23,NA,null,img/encoding_events/Event_14.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,25,95364,0.0-5.0-2.6,23,Study 23,Session 23,NA,null,Please press the <strong><u>d</u></strong> key to continue,null,response,d,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,26,95875,0.0-5.0-0.7,23,Study 23,Session 23,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,27,101880,0.0-5.0-1.7,23,Study 23,Session 23,NA,null,img/encoding_events/Event_16.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,28,104426,0.0-5.0-2.7,23,Study 23,Session 23,NA,2545,Please press the <strong><u>a</u></strong> key to continue,a,response,a,6000,TRUE,NA
NA,NA,NA,NA,NA,html-keyboard-response,29,104938,0.0-5.0-0.8,23,Study 23,Session 23,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,30,110962,0.0-5.0-1.8,23,Study 23,Session 23,NA,null,img/encoding_events/Event_5.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,31,110965,0.0-5.0-2.8,23,Study 23,Session 23,NA,null,Please press the <strong><u>j</u></strong> key to continue,null,response,j,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,32,111474,0.0-5.0-0.9,23,Study 23,Session 23,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,33,117499,0.0-5.0-1.9,23,Study 23,Session 23,NA,null,img/encoding_events/Event_20.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,34,117515,0.0-5.0-2.9,23,Study 23,Session 23,NA,null,Please press the <strong><u>s</u></strong> key to continue,null,response,s,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,35,118030,0.0-5.0-0.10,23,Study 23,Session 23,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,36,124054,0.0-5.0-1.10,23,Study 23,Session 23,NA,null,img/encoding_events/Event_15.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,37,124068,0.0-5.0-2.10,23,Study 23,Session 23,NA,null,Please press the <strong><u>a</u></strong> key to continue,null,response,a,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,38,124579,0.0-5.0-0.11,23,Study 23,Session 23,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,39,130598,0.0-5.0-1.11,23,Study 23,Session 23,NA,null,img/encoding_events/Event_22.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,40,132118,0.0-5.0-2.11,23,Study 23,Session 23,NA,1519,Please press the <strong><u>f</u></strong> key to continue,f,response,f,6000,TRUE,NA
NA,NA,NA,NA,NA,html-keyboard-response,41,132674,0.0-5.0-0.12,23,Study 23,Session 23,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,42,138689,0.0-5.0-1.12,23,Study 23,Session 23,NA,null,img/encoding_events/Event_21.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,43,138690,0.0-5.0-2.12,23,Study 23,Session 23,NA,null,Please press the <strong><u>f</u></strong> key to continue,null,response,f,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,44,139202,0.0-5.0-0.13,23,Study 23,Session 23,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,45,145223,0.0-5.0-1.13,23,Study 23,Session 23,NA,null,img/encoding_events/Event_8.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,46,145239,0.0-5.0-2.13,23,Study 23,Session 23,NA,null,Please press the <strong><u>k</u></strong> key to continue,null,response,k,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,47,145755,0.0-5.0-0.14,23,Study 23,Session 23,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,48,151771,0.0-5.0-1.14,23,Study 23,Session 23,NA,null,img/encoding_events/Event_7.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,49,151786,0.0-5.0-2.14,23,Study 23,Session 23,NA,null,Please press the <strong><u>f</u></strong> key to continue,null,response,f,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,50,152298,0.0-5.0-0.15,23,Study 23,Session 23,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,51,158322,0.0-5.0-1.15,23,Study 23,Session 23,NA,null,img/encoding_events/Event_11.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,52,160072,0.0-5.0-2.15,23,Study 23,Session 23,NA,1749,Please press the <strong><u>s</u></strong> key to continue,s,response,s,6000,TRUE,NA
NA,NA,NA,NA,NA,html-keyboard-response,53,160584,0.0-5.0-0.16,23,Study 23,Session 23,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,54,166600,0.0-5.0-1.16,23,Study 23,Session 23,NA,null,img/encoding_events/Event_10.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,55,166602,0.0-5.0-2.16,23,Study 23,Session 23,NA,null,Please press the <strong><u>a</u></strong> key to continue,null,response,a,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,56,167112,0.0-5.0-0.17,23,Study 23,Session 23,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,57,173137,0.0-5.0-1.17,23,Study 23,Session 23,NA,null,img/encoding_events/Event_9.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,58,173152,0.0-5.0-2.17,23,Study 23,Session 23,NA,null,Please press the <strong><u>k</u></strong> key to continue,null,response,k,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,59,173666,0.0-5.0-0.18,23,Study 23,Session 23,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,60,179684,0.0-5.0-1.18,23,Study 23,Session 23,NA,null,img/encoding_events/Event_12.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,61,179700,0.0-5.0-2.18,23,Study 23,Session 23,NA,null,Please press the <strong><u>f</u></strong> key to continue,null,response,f,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,62,180211,0.0-5.0-0.19,23,Study 23,Session 23,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,63,186230,0.0-5.0-1.19,23,Study 23,Session 23,NA,null,img/encoding_events/Event_24.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,64,187760,0.0-5.0-2.19,23,Study 23,Session 23,NA,1528,Please press the <strong><u>k</u></strong> key to continue,k,response,k,6000,TRUE,NA
NA,NA,NA,NA,NA,html-keyboard-response,65,188261,0.0-5.0-0.20,23,Study 23,Session 23,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,66,194289,0.0-5.0-1.20,23,Study 23,Session 23,NA,null,img/encoding_events/Event_23.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,67,194291,0.0-5.0-2.20,23,Study 23,Session 23,NA,null,Please press the <strong><u>a</u></strong> key to continue,null,response,a,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,68,194801,0.0-5.0-0.21,23,Study 23,Session 23,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,69,200968,0.0-5.0-1.21,23,Study 23,Session 23,NA,null,img/encoding_events/Event_2.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,70,200984,0.0-5.0-2.21,23,Study 23,Session 23,NA,null,Please press the <strong><u>s</u></strong> key to continue,null,response,s,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,71,201497,0.0-5.0-0.22,23,Study 23,Session 23,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,72,207514,0.0-5.0-1.22,23,Study 23,Session 23,NA,null,img/encoding_events/Event_3.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,73,207531,0.0-5.0-2.22,23,Study 23,Session 23,NA,null,Please press the <strong><u>s</u></strong> key to continue,null,response,s,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,74,208040,0.0-5.0-0.23,23,Study 23,Session 23,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,75,214060,0.0-5.0-1.23,23,Study 23,Session 23,NA,null,img/encoding_events/Event_4.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,76,217558,0.0-5.0-2.23,23,Study 23,Session 23,NA,3497,Please press the <strong><u>j</u></strong> key to continue,j,response,j,6000,TRUE,NA
NA,NA,NA,NA,NA,instructions,77,284006,0.0-6.0,23,Study 23,Session 23,"[{""page_index"":0,""viewing_time"":2355},{""page_index"":1,""viewing_time"":5476},{""page_index"":2,""viewing_time"":6394},{""page_index"":3,""viewing_time"":20261},{""page_index"":4,""viewing_time"":6062},{""page_index"":3,""viewing_time"":3663},{""page_index"":4,""viewing_time"":8756},{""page_index"":5,""viewing_time"":10877},{""page_index"":6,""viewing_time"":2605}]",66449,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,78,289160,0.0-7.0-0.0-0.0,23,Study 23,Session 23,NA,2631,img/testing_events/Ca/Test_Ca_Event_24.jpg,u,response,n,NA,FALSE,Ca
NA,NA,NA,NA,NA,image-keyboard-response,79,292346,0.0-7.0-0.0-0.1,23,Study 23,Session 23,NA,3170,img/testing_events/Ca/Test_Ca_Event_2.jpg,e,response,u,NA,FALSE,Ca
