success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,view_history,rt,stimulus,response,task,correct_response,attention_duration,correct,retrieval_group
TRUE,FALSE,[],[],[],preload,0,3827,0.0-0.0,38,Study 38,Session 38,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,NA,fullscreen,1,10582,0.0-1.0,38,Study 38,Session 38,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,instructions,2,22866,0.0-2.0,38,Study 38,Session 38,"[{""page_index"":0,""viewing_time"":12282}]",12282,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,3,29105,0.0-3.0,38,Study 38,Session 38,NA,6237,"Welcome to the experiment. <br /><br />This experiment will take about 20 minutes. Please complete all in one sitting. <br /><br />For this study, <strong>please use</strong> a laptop or desktop computer (not a mobile phone or tablet). Also, please use either <u>Chrome or Firefox</u>. <br /><br />Once you begin, <strong>DO NOT</strong> refresh the browser, as the experiment will reset and you will lose your progress. <br /><br />Press the <strong class=""upperline"">B</strong> key on your keyboard to begin.",b,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,instructions,4,50724,0.0-4.0,38,Study 38,Session 38,"[{""page_index"":0,""viewing_time"":4803},{""page_index"":1,""viewing_time"":13654},{""page_index"":2,""viewing_time"":2155}]",20612,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,5,53739,0.0-5.0-0.0,38,Study 38,Session 38,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,6,59755,0.0-5.0-1.0,38,Study 38,Session 38,NA,null,img/encoding_events/Event_10.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,7,59759,0.0-5.0-2.0,38,Study 38,Session 38,NA,null,Please press the <strong><u>a</u></strong> key to continue,null,response,a,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,8,60264,0.0-5.0-0.1,38,Study 38,Session 38,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,9,66277,0.0-5.0-1.1,38,Study 38,Session 38,NA,null,img/encoding_events/Event_7.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,10,66283,0.0-5.0-2.1,38,Study 38,Session 38,NA,null,Please press the <strong><u>s</u></strong> key to continue,null,response,s,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,11,66785,0.0-5.0-0.2,38,Study 38,Session 38,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
NA,NA,NA,NA,NA,image-keyboard-response,12,72796,0.0-5.0-1.2,38,Study 38,Session 38,NA,null,img/encoding_events/Event_6.jpg,null,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,html-keyboard-response,13,72802,0.0-5.0-2.2,38,Study 38,Session 38,NA,null,Please press the <strong><u>j</u></strong> key to continue,null,response,j,0,FALSE,NA
NA,NA,NA,NA,NA,html-keyboard-response,14,73305,0.0-5.0-0.3,38,Study 38,Session 38,NA,null,"<div style=""font-size:60px;"">+</div>",null,fixation,NA,NA,NA,NA
